Obs,LABEL,FORMAT,LENGTH,TYPE,START,END,DESCRIPTION,KEEP,FORM SECTION
396,SURG_INCIS,,6,Character,3504,3509,RECIPIENT SURGICAL INCISION LOCATION-PA,1,TRANSPLANT CLINICAL INFORMATION
397,OPER_TECH,,6,Character,3510,3515,RECIPIENT OPERATIVE TECHNIQUE FOR PANCREAS TX,1,TRANSPLANT CLINICAL INFORMATION
398,EDUCATION_DON,,6,Character,3516,3521,LIVING DONOR-HIGHEST LEVEL OF EDUCATION,1,DONOR INFORMATION
399,KI_CREAT_PREOP,,10,Numeric,3522,3531,LIVING KIDNEY DONOR PREOPERATIVE CREATININE,1,CLINICAL INFORMATION
400,KI_PROC_TY,,6,Character,3532,3537,LIVING DONOR KIDNEY PROCEDURE TYPE,1,CLINICAL INFORMATION
401,PRI_PAYMENT_DON,,6,Character,3538,3543,LIVING DONOR-PRIMARY PAYMENT TYPE,1,DONOR INFORMATION
402,PRI_PAYMENT_CTRY_DON,$,3,Character,3544,3546,"LIVING DONOR- FOREIGN GOVERNMENT, SPECIFIED",1,DONOR INFORMATION
403,MEDICARE_DON,$,1,Character,3547,3547,LIVING DONOR-MEDICARE AS SECONDARY PAYMENT TYPE,1,DONOR INFORMATION
404,MEDICAID_DON,$,1,Character,3548,3548,LIVING DONOR-MEDICAID AS SECONDARY PAYMENT TYPE,1,DONOR INFORMATION
405,OTH_GOVT_DON,$,1,Character,3549,3549,LIVING DONOR - US/STATE GOVERNMENT AGENCY AS SECONDARY PAYMENT TYPE,1,DONOR INFORMATION
406,PRIV_INS_DON,$,1,Character,3550,3550,LIVING DONOR-PRIVATE INSURANCE AS SECONDARY PAYMENT TYPE,1,DONOR INFORMATION
407,HMO_PPO_DON,$,1,Character,3551,3551,LIVING DONOR-HMO/PPO AS SECONDARY PAYMENT TYPE,1,DONOR INFORMATION
408,SELF_DON,$,1,Character,3552,3552,LIVING DONOR-SELF AS SECONDARY PAYMENT TYPE,1,DONOR INFORMATION
409,DONATION_DON,$,1,Character,3553,3553,LIVING DONOR-DONATION AS SECONDARY PAYMENT TYPE,1,DONOR INFORMATION
410,FREE_DON,$,1,Character,3554,3554,LIVING DONOR-FREE CARE AS SECONDARY PAYMENT TYPE,1,DONOR INFORMATION
411,RECOV_OUT_US,$,1,Character,3555,3555,LIVING DONOR-ORGAN RECOVERED OUTSIDE U.S.,1,ORGAN RECOVERY
412,RECOV_COUNTRY,$,3,Character,3556,3558,LIVING DONOR-COUNTRY OF ORGAN RECOVERY IF NOT U.S.,1,ORGAN RECOVERY
413,PROTEIN_URINE,$,1,Character,3559,3559,DECEASED DONOR PROTEIN IN URINE,1,CLINICAL INFORMATION
414,LIPASE,,10,Numeric,3560,3569,DECEASED PANCREAS DONOR SERUM LIPASE,1,CLINICAL INFORMATION
415,AMYLASE,,10,Numeric,3570,3579,DECEASED PANCREAS DONOR SERUM AMYLASE,1,CLINICAL INFORMATION
416,INOTROP_AGENTS,$,1,Character,3580,3580,DECEASED DONOR-INOTROPIC AGENT SUPPORT,1,HEART DONOR'S CARDIAC FUNCTION
417,CARDARREST_NEURO,$,1,Character,3581,3581,DECEASED DONOR-CARDIAC ARREST POST BRAIN DEATH,1,CLINICAL INFORMATION
418,RESUSCIT_DUR,,10,Numeric,3582,3591,DECEASED DONOR-RESUSCITATION FOLLOWING CARDIAC ARREST POST BRAIN DEATH,1,CLINICAL INFORMATION
419,INOTROP_SUPPORT_DON,$,1,Character,3592,3592,DECEASED DONOR INOTROPIC MEDICATION AT PROCUREMENT (Y/N),1,CLINICAL INFORMATION
420,TATTOOS,$,1,Character,3593,3593,DECEASED DONOR-TATOOS,1,DONOR HISTORY
421,LT_KI_BIOPSY,$,1,Character,3594,3594,DECEASED DONOR-LEFT KIDNEY BIOPSY AT RECOVERY,1,ORGAN RECOVERY
422,LT_KI_GLOMERUL,,6,Numeric,3595,3600,DECEASED DONOR-LEFT KIDNEY %GLOMERULOSCLEROSIS AT RECOVERY,1,ORGAN RECOVERY
423,RT_KI_BIOPSY,$,1,Character,3601,3601,DECEASED DONOR-RIGHT KIDNEY BIOPSY AT RECOVERY,1,ORGAN RECOVERY
424,RT_KI_GLOMERUL,,6,Numeric,3602,3607,DECEASED DONOR-RIGHT KIDNEY %GLOMERULOSCLEROSIS AT RECOVERY,1,ORGAN RECOVERY
425,REFERRAL_DATE,MMDDYY,10,Numeric,3608,3617,DECEASED DONOR-REFERRAL DATE,1,PROVIDER INFORMATION
426,RECOVERY_DATE,MMDDYY,10,Numeric,3618,3627,DECEASED ORGAN RECOVERY DATE,1,ORGAN RECOVERY
427,ADMIT_DATE_DON,MMDDYY,10,Numeric,3628,3637,DONOR ADMIT DATE,1,DONOR INFORMATION
428,DONOR_ID,,10,Identifier,3638,3647,ENCRYPTED DONOR IDENTIFIER,1,
429,HBSAB_DON,$,2,Character,3648,3649,DECEASED DONOR HBSAB TEST RESULT,1,CLINICAL INFORMATION
430,EBV_IGG_CAD_DON,$,2,Character,3650,3651,DECEASED DONOR EPSTEIN BARR VIRUS BY IGG TEST RESULT,1,CLINICAL INFORMATION
431,EBV_IGM_CAD_DON,$,2,Character,3652,3653,DECEASED DONOR EPSTEIN BARR VIRUS BY IGM TEST RESULT,1,CLINICAL INFORMATION
432,CDC_RISK_HIV_DON,$,1,Character,3654,3654,"DECEASED DONOR - PER PHS, Does the Donor Have Risk Factors for Blood-Borne Disease Transmission?",1,DONOR HISTORY
433,INO_PROCURE_AGENT_1,,10,Character,3655,3664,DECEASED DONOR-INOTROPIC MEDICATION AGENT 1,1,CLINICAL INFORMATION
434,INO_PROCURE_AGENT_2,,10,Character,3665,3674,DECEASED DONOR-INOTROPIC MEDICATION AGENT 2,1,CLINICAL INFORMATION
435,INO_PROCURE_AGENT_3,,10,Character,3675,3684,DECEASED DONOR-INOTROPIC MEDICATION AGENT 3,1,CLINICAL INFORMATION
436,INO_PROCURE_OSTXT_1,,40,Character,3685,3724,"DECEASED DONOR-INOTROPIC MEDICATION AGENT 1, SPECIFY",1,CLINICAL INFORMATION
437,INO_PROCURE_OSTXT_2,,40,Character,3725,3764,"DECEASED DONOR-INOTROPIC MEDICATION AGENT 2, SPECIFY",1,CLINICAL INFORMATION
438,INO_PROCURE_OSTXT_3,,40,Character,3765,3804,"DECEASED DONOR-INOTROPIC MEDICATION AGENT 3, SPECIFY",1,CLINICAL INFORMATION
439,DATA_TRANSPLANT,,1,Character,3805,3805,Recipient TRR Data Reported,1,
440,DATA_WAITLIST,,1,Character,3806,3806,Candidate WL Data Reported,1,
441,CTR_CODE,,7,Character,3807,3813,ENCRYPTED TRANSPLANT CENTER CODE,1,
442,OPO_CTR_CODE,,7,Character,3814,3820,ENCRYPTED OPO CENTER CODE,1,
443,INIT_OPO_CTR_CODE,,7,Character,3821,3827,ENCRYPTED INITIAL OPO MAPPED FROM LISTING CENTER AND BEGINNING DATE,1,
444,END_OPO_CTR_CODE,,7,Character,3828,3834,ENCRYPTED REMOVAL/CURRENT OPO MAPPED FROM LISTING CENTER AND ENDING DATE,1,
445,LISTING_CTR_CODE,,7,Character,3835,3841,ENCRYPTED WL LISTING CENTER,1,
